# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
4220000 430.002 437.271 401.285 1268.56
4230000 430.969 439.642 399.876 1270.49
4240000 429.814 440.198 399.59 1269.6
4250000 429.029 441.714 399.351 1270.09
4260000 429.584 440.3 398.801 1268.69
4270000 431.27 441.373 398.268 1270.91
4280000 433.281 440.49 398.444 1272.22
4290000 433.934 440.706 398.723 1273.36
4300000 435.639 442.096 399.019 1276.75
4310000 435.274 441.679 397.171 1274.12
4320000 434.618 442.777 396.658 1274.05
4330000 435.497 441.968 397.378 1274.84
4340000 433.379 441.761 397.893 1273.03
4350000 432.168 441.013 397.412 1270.59
4360000 431.084 441.426 397.734 1270.24
4370000 431.442 441.546 397.794 1270.78
4380000 430.324 442.36 397.875 1270.56
4390000 431.019 442.92 399.153 1273.09
4400000 431.624 443.522 402.013 1277.16
4410000 432.181 440.947 402.715 1275.84
4420000 432.204 440.92 403.425 1276.55
4430000 432.777 440.87 403.96 1277.61
4440000 433.478 443.438 403.209 1280.12
4450000 434.308 445.716 401.206 1281.23
4460000 435.663 446.487 402.108 1284.26
4470000 437.03 447.891 403.34 1288.26
4480000 437.718 448.929 403.498 1290.15
4490000 438.495 449.85 402.388 1290.73
4500000 440.406 451.62 403.212 1295.24
4510000 440.696 451.809 404.178 1296.68
4520000 438.741 453.163 404.755 1296.66
4530000 439.843 455.306 403.56 1298.71
4540000 441.109 454.26 403.046 1298.41
4550000 440.599 454.198 402.47 1297.27
4560000 441.182 456.191 402.922 1300.3
4570000 442.778 457.326 404.064 1304.17
4580000 442.729 456.195 402.543 1301.47
4590000 445.338 456.808 401.958 1304.1
4600000 446.357 455.749 403.845 1305.95
4610000 446.235 454.612 403.981 1304.83
