# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
1543000 98.7155
1544000 96.741
1545000 94.5652
1546000 96.693
1547000 102.997
1548000 100.639
1549000 94.7462
1550000 95.9748
1551000 94.7105
1552000 97.5177
1553000 100.386
1554000 95.2107
1555000 93.4357
1556000 100.661
1557000 104.171
1558000 105.824
1559000 105.972
1560000 108.41
1561000 100.783
1562000 97.8438
1563000 95.5713
1564000 96.429
1565000 99.0783
1566000 103.201
1567000 99.8491
1568000 108.68
1569000 103.231
1570000 103.189
1571000 103.532
1572000 109.547
1573000 105.513
1574000 109.175
1575000 102.943
1576000 96.5902
1577000 91.139
1578000 92.2772
1579000 95.6699
1580000 103.896
1581000 98.9341
1582000 106.456
1583000 105.458
1584000 102.734
1585000 97.1295
1586000 96.7338
1587000 100.519
1588000 99.1024
1589000 93.7972
1590000 98.0712
1591000 88.716
1592000 91.7043
1593000 87.7455
1594000 87.6484
1595000 78.5623
1596000 87.0742
1597000 81.8017
1598000 75.5243
1599000 62.6558
1600000 66.0812
1601000 64.2927
1602000 66.6534
1603000 64.6047
1604000 66.8704
1605000 71.5384
1606000 72.1949
1607000 76.5204
1608000 73.1936
1609000 77.2184
1610000 79.0824
1611000 76.9882
1612000 92.2289
1613000 97.2972
1614000 92.2844
1615000 89.8825
1616000 87.6395
1617000 84.2228
1618000 77.412
1619000 73.7649
1620000 74.4351
1621000 77.9295
1622000 81.0882
1623000 70.9061
1624000 65.2422
1625000 52.3925
1626000 60.4599
1627000 64.2579
1628000 63.4542
1629000 65.4855
1630000 75.6907
1631000 84.7225
1632000 80.8494
1633000 82.8879
1634000 93.8766
1635000 91.2218
1636000 90.8198
1637000 98.3601
1638000 107.494
1639000 107.231
1640000 97.9935
1641000 88.1251
1642000 81.5845
1643000 74.8021
1644000 80.7135
1645000 67.614
1646000 72.9442
1647000 61.9034
1648000 62.812
1649000 67.5398
1650000 79.0669
1651000 67.4309
1652000 79.7007
1653000 87.4678
1654000 89.5283
1655000 90.7541
1656000 74.2992
1657000 68.2942
1658000 72.3068
1659000 63.7918
1660000 66.1197
1661000 65.0029
1662000 62.7046
1663000 73.3374
1664000 69.6262
1665000 61.8434
1666000 65.2587
1667000 49.3084
1668000 48.1796
1669000 42.6739
1670000 45.7447
1671000 53.7968
1672000 62.0627
1673000 42.5759
1674000 37.1243
1675000 28.6292
1676000 26.6393
1677000 15.4071
1678000 34.7485
1679000 44.069
1680000 47.678
1681000 49.4883
1682000 54.4504
1683000 58.8523
1684000 64.2395
1685000 63.6757
1686000 54.3514
1687000 68.4528
1688000 64.0343
1689000 51.1053
1690000 23.3579
1691000 38.5905
1692000 41.8764
1693000 41.1975
1694000 54.1508
1695000 55.8027
1696000 65.3888
1697000 58.5186
1698000 39.9349
1699000 42.3868
1700000 42.1071
1701000 57.2702
1702000 60.9166
1703000 47.1967
1704000 50.954
1705000 50.5949
1706000 55.8647
1707000 57.1232
1708000 61.5005
1709000 79.7679
1710000 84.3116
1711000 82.4007
1712000 86.3841
1713000 82.7963
1714000 84.0727
1715000 92.6753
1716000 89.8621
1717000 92.4563
1718000 108.521
1719000 120.468
1720000 139.195
1721000 178.463
1722000 224.619
1723000 259.444
1724000 258.722
1725000 273.786
1726000 294.331
1727000 295.089
1728000 307.911
1729000 295.854
1730000 284.763
1731000 308.504
1732000 295.103
1733000 281.571
1734000 296.981
1735000 317.797
1736000 308.451
1737000 310.181
1738000 302.747
1739000 302.055
1740000 307.419
1741000 317.451
1742000 319.486
1743000 324.765
1744000 311.788
1745000 312.906
1746000 328.433
1747000 304.221
1748000 306.077
1749000 306.074
1750000 311.412
1751000 313.426
1752000 325.613
1753000 312.209
1754000 306.815
1755000 305.523
1756000 293.167
1757000 306.9
1758000 307.237
1759000 316.935
1760000 318.627
1761000 304.306
1762000 321.199
1763000 314.266
1764000 299.621
1765000 323.757
1766000 316.803
1767000 315.433
1768000 312.459
1769000 315.236
1770000 318.137
1771000 310.308
1772000 319.716
1773000 308.441
1774000 293.872
1775000 297.975
1776000 302.927
1777000 307.231
1778000 302.899
1779000 320.673
1780000 321.291
1781000 310.452
1782000 302.941
1783000 323.101
1784000 302.848
1785000 313.143
1786000 301.702
1787000 293.978
1788000 305.319
1789000 316.904
1790000 311.029
1791000 296.523
1792000 296.864
1793000 311.503
1794000 322.027
1795000 301.34
1796000 306.895
1797000 285.982
1798000 313.461
1799000 300.038
1800000 306.123
1801000 313.726
1802000 311.338
1803000 295.548
1804000 310.225
1805000 300.011
1806000 303.047
1807000 306.642
1808000 299.548
1809000 306.896
1810000 292.048
1811000 297.183
1812000 313.601
1813000 285.678
1814000 300.708
1815000 299.478
1816000 321.89
1817000 287.612
1818000 309
1819000 315.564
1820000 307.671
1821000 315.341
1822000 306.013
1823000 297.287
1824000 302.698
1825000 309.81
1826000 293.732
1827000 287.598
1828000 290.033
1829000 279.027
1830000 295.505
1831000 277.85
1832000 295.318
1833000 302.348
1834000 287.548
1835000 292.078
1836000 301.215
1837000 303.323
1838000 296.677
1839000 285.915
1840000 296.239
1841000 288.333
1842000 296.732
1843000 294.034
1844000 305.683
1845000 298.259
1846000 310.192
1847000 287.765
1848000 287.592
1849000 286.363
1850000 291.647
1851000 280.422
1852000 289.54
1853000 280.209
1854000 270.284
1855000 277.904
1856000 278.009
1857000 267.164
1858000 258.877
1859000 255.582
1860000 264.799
1861000 253.601
1862000 267.084
1863000 282.168
1864000 276.44
1865000 264.986
1866000 248.542
1867000 249.235
1868000 261.728
1869000 278.569
1870000 263.189
1871000 285.136
1872000 283.643
