# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1425000 68.71 68 84 79
1426000 69 68 84.32 79.4
1427000 69 68 85 80
1428000 69.88 68 85 80
1429000 70 68.21 85.23 80
1430000 70 69 86 80
1431000 70 69 86 80
1432000 70 69 86 80.97
1433000 70 69 86 81
1434000 70.96 69 86 81
1435000 71 70.34 86 81
1436000 71.56 71.37 86 81
1437000 72 72 86 81
1438000 72 72 86 81
1439000 72 72 86.24 81
1440000 72 72 87 81.25
1441000 72.37 72.22 87 82
1442000 73 73 87.27 82.36
1443000 73 73 88 83.19
1444000 73 73 88 85.18
1445000 73.3 73 88 86
1446000 74 73 88.6 86
1447000 74 73 89.74 86.67
1448000 74 73 90 87
1449000 74 73 90 87.6
1450000 74.53 73 90 88
1451000 75 73 90 88
1452000 75 73 90 88
1453000 76.43 73.56 90 88
1454000 77 74 90 88
1455000 77 74 90 88
1456000 77.15 74 90 88
1457000 78 74 90 88.29
1458000 78.42 74 90 89
1459000 79.17 74.68 90 89.78
1460000 80 75 90 91
1461000 80.4 75.86 90 91
1462000 81 77 90 91
1463000 81 77 90.28 91
1464000 81 77 91 91
1465000 81 77 91 91
1466000 81 77 91 91
1467000 81 77 91 91
1468000 81 77 91 91.22
1469000 81 77 91 92
1470000 81 77 91 92
1471000 81 77 91 92
1472000 81 77 91 92
1473000 81 77 91 92
1474000 81 77 91.23 92
1475000 82 77 92 92
1476000 82 77 92 92
1477000 82 77 92 92
1478000 82 77 92 92.04
1479000 82 77 92 93
1480000 82 77 92 93
1481000 82.36 77 92 93
1482000 84 77 92 93
1483000 84 77 92 93.79
1484000 84 77 92 94.42
1485000 84.55 77 92 95
1486000 85 77 92.93 95
1487000 85 77 93 95
1488000 85 77 93 95
1489000 85 77 93 95.5
1490000 85 77 93 96
1491000 85 77 93 96
1492000 85 77 93 96
1493000 85 77 93 96
1494000 85 77.97 93 96
1495000 85 78 93 96
1496000 85.55 78.17 93 96.79
1497000 86 79 93 97
1498000 86 79 93 97
1499000 86 79 93 97
1500000 86 79 93 97
1501000 86 79 93 97
1502000 86 79 93 97.13
1503000 86 79 93 98
1504000 86 79 93 98
1505000 86.61 79.82 93 98
1506000 87.07 80 93 98
1507000 88 80 93 98
1508000 88.38 80 93.31 98
1509000 89 80 94 98
1510000 89 80 94 98
1511000 89.96 80 94 98
1512000 90 80 94 98
1513000 90 80 94 98
1514000 90 80.1 94 98
1515000 90 81 94 98
1516000 90 81 94.6 98
1517000 90 81 95 98
1518000 90 81 95 98
1519000 90.69 82.38 95 98
1520000 91 84 95 98
1521000 91 84 95.94 98
1522000 91 84 96 98
1523000 91 84 96 98
1524000 91 84.83 96 98
1525000 91 85 96 98.24
1526000 91 85 96.59 99
1527000 91 85.67 97 99
1528000 91 86 97 99
1529000 91 86 97 99
1530000 91 86 97 99
1531000 91 86 97 99
1532000 91.53 86 97.35 99
