# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
598000 109.851
599000 106.128
600000 102.128
601000 99.7586
602000 114.478
603000 105.778
604000 114.195
605000 110.327
606000 107.883
607000 98.5164
608000 92.2735
609000 100.75
610000 111.81
611000 111.31
612000 105.302
613000 101.661
614000 111.381
615000 104.443
616000 102.09
617000 106.413
618000 104.049
619000 105.565
620000 112.859
621000 103.062
622000 116.327
623000 112.442
624000 104.557
625000 102.154
626000 95.0117
627000 108.066
628000 98.1121
629000 102.619
630000 91.443
631000 98.7049
632000 104.345
633000 98.0802
634000 103.098
635000 100.328
636000 110.573
637000 105.756
638000 113.875
639000 118.579
640000 119.521
641000 111.968
642000 96.789
643000 102.377
644000 96.3894
645000 102.181
646000 95.9152
647000 108.354
648000 101.569
649000 112.913
650000 109.287
651000 111.184
652000 109.683
653000 109.686
654000 103.073
655000 109.567
656000 114.284
657000 110.581
658000 101.068
659000 98.3958
660000 99.0597
661000 90.6141
662000 97.049
663000 98.6846
664000 110.255
665000 105.542
666000 107.744
667000 104.95
668000 111.641
669000 107.066
670000 99.5143
671000 103.269
672000 98.3991
673000 103.676
674000 102.07
675000 100.218
676000 103.14
677000 98.8488
678000 98.7913
679000 113.786
680000 100.815
681000 93.6424
682000 101.298
683000 103.914
684000 86.2687
685000 95.3176
686000 100.226
687000 110.983
688000 110.091
689000 90.6044
690000 96.6192
691000 102.781
692000 103.052
693000 110.548
694000 104.4
695000 100.111
696000 97.4139
697000 105.206
698000 94.971
699000 93.865
700000 96.5316
701000 102.281
702000 96.0791
703000 106.509
704000 105.318
705000 102.446
706000 102.36
707000 96.8042
708000 103.024
709000 106.302
710000 100.663
711000 95.0138
712000 103.287
713000 107.51
714000 107.894
715000 106.073
716000 108.873
717000 107.699
718000 100.697
719000 101.939
720000 99.875
721000 103.296
722000 102.877
723000 98.5971
724000 96.4954
725000 103.635
726000 113.505
727000 112.194
728000 98.7981
729000 94.3995
730000 110.889
731000 110.031
732000 108.202
733000 104.154
734000 108.467
735000 98.261
736000 108.776
737000 112.285
738000 103.741
739000 110.063
740000 106.573
741000 95.4486
742000 102.076
743000 103.743
744000 100.028
745000 107.987
746000 100.512
747000 105.859
748000 111.994
749000 114.625
750000 109.528
751000 106.383
752000 108.429
753000 100.439
754000 110.05
755000 107.87
756000 109.675
757000 103.83
758000 100.937
759000 106.322
760000 104.72
761000 109.114
762000 102.876
763000 105.95
764000 113.34
765000 109.19
766000 101.516
767000 96.3435
768000 106.792
769000 102.41
770000 104.899
771000 104.553
772000 102.859
773000 103.265
774000 109.62
775000 108.889
776000 100.393
777000 108.701
778000 95.1063
779000 105.488
780000 105.413
781000 110.039
782000 103.58
783000 92.9881
784000 106.693
785000 103.353
786000 101.234
787000 94.8683
788000 98.4258
789000 100.69
790000 107.457
791000 105.612
792000 103.831
793000 99.5125
794000 108.846
795000 111.951
796000 94.8397
797000 98.9438
798000 105.972
799000 100.558
800000 106.738
801000 97.6353
802000 104.134
803000 104.714
804000 105.073
805000 96.9834
806000 97.7288
807000 102.847
808000 109.806
809000 99.9781
810000 95.7849
811000 98.839
812000 102.93
813000 106.085
814000 115.365
815000 107.39
816000 95.8956
817000 107.83
818000 101.667
819000 111.881
820000 101.847
821000 100.181
822000 107.063
823000 112.312
824000 104.202
825000 108.746
826000 100.959
827000 99.8886
828000 102.495
829000 100.439
830000 116.616
831000 115.168
832000 104.904
833000 102.842
834000 100.637
835000 101.969
836000 97.9034
837000 98.1296
838000 101.771
839000 105.802
840000 98.1158
841000 95.8731
842000 93.9179
843000 92.4176
844000 100.755
845000 88.949
846000 87.9866
847000 95.249
848000 95.8877
849000 96.7878
850000 104.323
851000 101.673
852000 100.276
853000 107.216
854000 107.361
855000 102.306
856000 108.641
857000 104.084
858000 107.151
859000 105.874
860000 108.64
861000 100.046
862000 116.541
863000 107.023
864000 99.4646
865000 108.936
866000 97.798
867000 107.926
868000 117.14
869000 110.427
870000 111.266
871000 103.846
872000 98.8711
873000 91.1051
874000 94.6145
875000 104.757
876000 96.0544
877000 100.457
878000 94.6107
879000 94.5714
880000 88.1244
881000 87.7932
882000 100.334
883000 101.895
884000 115.011
885000 114.487
886000 110.723
887000 98.9952
888000 98.9082
889000 105.704
890000 105.889
891000 100.537
892000 101.154
893000 95.9122
894000 104.338
895000 102.129
896000 109.355
897000 107.749
898000 99.7777
899000 99.0935
900000 106.779
901000 106.662
902000 98.745
903000 99.1931
904000 100.641
905000 95.9781
906000 104.287
907000 96.5286
908000 92.597
909000 102.564
910000 96.6211
911000 92.8503
